LOAD_OPTION,PLUGIN_NAME,PLUGIN_TYPE,PLUGIN_STATUS,PLUGIN_AUTHOR,PLUGIN_VERSION,PLUGIN_LICENSE,PLUGIN_LIBRARY,PLUGIN_MATURITY,PLUGIN_DESCRIPTION,PLUGIN_AUTH_VERSION,PLUGIN_TYPE_VERSION,PLUGIN_LIBRARY_VERSION
FORCE,binlog,STORAGE ENGINE,ACTIVE,MySQL AB,1.0,GPL,NULL,Stable,This is a pseudo storage engine to represent the binlog in a transaction,1.0,100137.0,NULL
FORCE,mysql_native_password,AUTHENTICATION,ACTIVE,"R.J.Silk, Sergei Golubchik",1.0,GPL,NULL,Stable,Native MySQL authentication,1.0,2.1,NULL
FORCE,mysql_old_password,AUTHENTICATION,ACTIVE,"R.J.Silk, Sergei Golubchik",1.0,GPL,NULL,Stable,Old MySQL-4.0 authentication,1.0,2.1,NULL
FORCE,wsrep,STORAGE ENGINE,ACTIVE,Codership Oy,1.0,GPL,NULL,Stable,A pseudo storage engine to represent transactions in multi-master synchornous replication,1.0,100137.0,NULL
FORCE,CSV,STORAGE ENGINE,ACTIVE,"Brian Aker, MySQL AB",1.0,GPL,NULL,Stable,Stores tables as CSV files,1.0,100137.0,NULL
FORCE,MEMORY,STORAGE ENGINE,ACTIVE,MySQL AB,1.0,GPL,NULL,Stable,"Hash based, stored in memory, useful for temporary tables",1.0,100137.0,NULL
FORCE,MyISAM,STORAGE ENGINE,ACTIVE,MySQL AB,1.0,GPL,NULL,Stable,Non-transactional engine with good performance and small data footprint,1.0,100137.0,NULL
FORCE,MRG_MyISAM,STORAGE ENGINE,ACTIVE,MySQL AB,1.0,GPL,NULL,Stable,Collection of identical MyISAM tables,1.0,100137.0,NULL
FORCE,CLIENT_STATISTICS,INFORMATION SCHEMA,ACTIVE,Percona and Sergei Golubchik,2.0,GPL,NULL,Stable,Client Statistics,2.0,100137.0,NULL
FORCE,INDEX_STATISTICS,INFORMATION SCHEMA,ACTIVE,Percona and Sergei Golubchik,2.0,GPL,NULL,Stable,Index Statistics,2.0,100137.0,NULL
FORCE,TABLE_STATISTICS,INFORMATION SCHEMA,ACTIVE,Percona and Sergei Golubchik,2.0,GPL,NULL,Stable,Table Statistics,2.0,100137.0,NULL
FORCE,USER_STATISTICS,INFORMATION SCHEMA,ACTIVE,Percona and Sergei Golubchik,2.0,GPL,NULL,Stable,User Statistics,2.0,100137.0,NULL
ON,Aria,STORAGE ENGINE,ACTIVE,Monty Program Ab,1.5,GPL,NULL,Stable,Crash-safe tables with MyISAM heritage,1.5,100137.0,NULL
FORCE,PERFORMANCE_SCHEMA,STORAGE ENGINE,ACTIVE,"Marc Alff, Oracle",0.1,GPL,NULL,Stable,Performance Schema,5.6.40,100137.0,NULL
ON,SEQUENCE,STORAGE ENGINE,ACTIVE,Sergei Golubchik,1.0,GPL,NULL,Stable,Generated tables filled with sequential values,0.1,100137.0,NULL
ON,InnoDB,STORAGE ENGINE,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,"Percona-XtraDB, Supports transactions, row-level locking, foreign keys and encryption for tables",5.6.41-84.1,100137.0,NULL
ON,XTRADB_READ_VIEW,INFORMATION SCHEMA,ACTIVE,Percona Inc.,5.6,GPL,NULL,Stable,InnoDB Read View information,5.6.41-84.1,100137.0,NULL
ON,XTRADB_INTERNAL_HASH_TABLES,INFORMATION SCHEMA,ACTIVE,Percona Inc.,5.6,GPL,NULL,Stable,InnoDB internal hash tables information,5.6.41-84.1,100137.0,NULL
ON,XTRADB_RSEG,INFORMATION SCHEMA,ACTIVE,Percona Inc.,5.6,GPL,NULL,Stable,InnoDB rollback segment information,5.6.41-84.1,100137.0,NULL
ON,INNODB_TRX,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,InnoDB transactions,5.6.41-84.1,100137.0,NULL
ON,INNODB_LOCKS,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,InnoDB conflicting locks,5.6.41-84.1,100137.0,NULL
ON,INNODB_LOCK_WAITS,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,InnoDB which lock is blocking which,5.6.41-84.1,100137.0,NULL
ON,INNODB_CMP,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,Statistics for the InnoDB compression,5.6.41-84.1,100137.0,NULL
ON,INNODB_CMP_RESET,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,Statistics for the InnoDB compression; reset cumulated counts,5.6.41-84.1,100137.0,NULL
ON,INNODB_CMPMEM,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,Statistics for the InnoDB compressed buffer pool,5.6.41-84.1,100137.0,NULL
ON,INNODB_CMPMEM_RESET,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,Statistics for the InnoDB compressed buffer pool; reset cumulated counts,5.6.41-84.1,100137.0,NULL
ON,INNODB_CMP_PER_INDEX,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,Statistics for the InnoDB compression (per index),5.6.41-84.1,100137.0,NULL
ON,INNODB_CMP_PER_INDEX_RESET,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,Statistics for the InnoDB compression (per index); reset cumulated counts,5.6.41-84.1,100137.0,NULL
ON,INNODB_BUFFER_PAGE,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,InnoDB Buffer Page Information,5.6.41-84.1,100137.0,NULL
ON,INNODB_BUFFER_PAGE_LRU,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,InnoDB Buffer Page in LRU,5.6.41-84.1,100137.0,NULL
ON,INNODB_BUFFER_POOL_STATS,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,InnoDB Buffer Pool Statistics Information ,5.6.41-84.1,100137.0,NULL
ON,INNODB_METRICS,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,InnoDB Metrics Info,5.6.41-84.1,100137.0,NULL
ON,INNODB_FT_DEFAULT_STOPWORD,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,Default stopword list for InnoDB Full Text Search,5.6.41-84.1,100137.0,NULL
ON,INNODB_FT_DELETED,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,INNODB AUXILIARY FTS DELETED TABLE,5.6.41-84.1,100137.0,NULL
ON,INNODB_FT_BEING_DELETED,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,INNODB AUXILIARY FTS BEING DELETED TABLE,5.6.41-84.1,100137.0,NULL
ON,INNODB_FT_CONFIG,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,INNODB AUXILIARY FTS CONFIG TABLE,5.6.41-84.1,100137.0,NULL
ON,INNODB_FT_INDEX_CACHE,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,INNODB AUXILIARY FTS INDEX CACHED,5.6.41-84.1,100137.0,NULL
ON,INNODB_FT_INDEX_TABLE,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,INNODB AUXILIARY FTS INDEX TABLE,5.6.41-84.1,100137.0,NULL
ON,INNODB_SYS_TABLES,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,InnoDB SYS_TABLES,5.6.41-84.1,100137.0,NULL
ON,INNODB_SYS_TABLESTATS,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,InnoDB SYS_TABLESTATS,5.6.41-84.1,100137.0,NULL
ON,INNODB_SYS_INDEXES,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,InnoDB SYS_INDEXES,5.6.41-84.1,100137.0,NULL
ON,INNODB_SYS_COLUMNS,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,InnoDB SYS_COLUMNS,5.6.41-84.1,100137.0,NULL
ON,INNODB_SYS_FIELDS,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,InnoDB SYS_FIELDS,5.6.41-84.1,100137.0,NULL
ON,INNODB_SYS_FOREIGN,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,InnoDB SYS_FOREIGN,5.6.41-84.1,100137.0,NULL
ON,INNODB_SYS_FOREIGN_COLS,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,InnoDB SYS_FOREIGN_COLS,5.6.41-84.1,100137.0,NULL
ON,INNODB_SYS_TABLESPACES,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,InnoDB SYS_TABLESPACES,5.6.41-84.1,100137.0,NULL
ON,INNODB_SYS_DATAFILES,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,InnoDB SYS_DATAFILES,5.6.41-84.1,100137.0,NULL
ON,INNODB_CHANGED_PAGES,INFORMATION SCHEMA,ACTIVE,Percona,1.0,GPL,NULL,Stable,InnoDB CHANGED_PAGES table,5.6.41-84.1,100137.0,NULL
ON,INNODB_MUTEXES,INFORMATION SCHEMA,ACTIVE,Oracle Corporation,5.6,GPL,NULL,Stable,InnoDB SYS_DATAFILES,5.6.41-84.1,100137.0,NULL
ON,INNODB_SYS_SEMAPHORE_WAITS,INFORMATION SCHEMA,ACTIVE,MariaDB Corporation,5.6,GPL,NULL,Stable,InnoDB SYS_SEMAPHORE_WAITS,5.6.41-84.1,100137.0,NULL
ON,INNODB_TABLESPACES_ENCRYPTION,INFORMATION SCHEMA,ACTIVE,Google Inc,5.6,BSD,NULL,Stable,InnoDB TABLESPACES_ENCRYPTION,5.6.41-84.1,100137.0,NULL
ON,INNODB_TABLESPACES_SCRUBBING,INFORMATION SCHEMA,ACTIVE,Google Inc,5.6,BSD,NULL,Stable,InnoDB TABLESPACES_SCRUBBING,5.6.41-84.1,100137.0,NULL
ON,CHANGED_PAGE_BITMAPS,INFORMATION SCHEMA,ACTIVE,MariaDB Corporation,5.6,GPL,NULL,Stable,XtraDB dummy changed_page_bitmaps table,5.6.41-84.1,100137.0,NULL
ON,unix_socket,AUTHENTICATION,ACTIVE,Sergei Golubchik,1.0,GPL,NULL,Stable,Unix Socket based authentication,1.0,2.1,NULL
OFF,FEEDBACK,INFORMATION SCHEMA,DISABLED,Sergei Golubchik,1.1,GPL,NULL,Stable,MariaDB User Feedback Plugin,1.1,100137.0,NULL
ON,partition,STORAGE ENGINE,ACTIVE,"Mikael Ronstrom, MySQL AB",1.0,GPL,NULL,Stable,Partition Storage Engine Helper,1.0,100137.0,NULL

