TABLE_ID,POS,LEN,NAME,MTYPE,PRTYPE
11,0,0,ID,1,2949124
11,1,0,FOR_NAME,1,2949124
11,2,0,REF_NAME,1,2949124
11,3,4,N_COLS,6,0
12,0,0,ID,1,2949124
12,1,4,POS,6,0
12,2,0,FOR_COL_NAME,1,2949124
12,3,0,REF_COL_NAME,1,2949124
13,0,4,SPACE,6,0
13,1,0,NAME,1,2949124
13,2,4,FLAGS,6,0
14,0,4,SPACE,6,0
14,1,0,PATH,1,2949124
15,0,192,database_name,12,5439759
15,1,192,table_name,12,5439759
15,2,4,last_update,3,526087
15,3,8,n_rows,6,1800
15,4,8,clustered_index_size,6,1800
15,5,8,sum_of_other_index_sizes,6,1800
16,0,192,database_name,12,5439759
16,1,192,table_name,12,5439759
16,2,192,index_name,12,5439759
16,3,4,last_update,3,526087
16,4,192,stat_name,12,5439759
16,5,8,stat_value,6,1800
16,6,8,sample_size,6,1544
16,7,3072,stat_description,12,5443855
17,0,4,domain_id,6,1795
17,1,8,sub_id,6,1800
17,2,4,server_id,6,1795
17,3,8,seq_no,6,1800
18,0,4,cod,6,1283
18,1,140,name,12,2949391
18,2,4,price,6,1283
18,3,1600,descrip,12,2953487
18,4,1400,star,12,2953487
18,5,160,image,12,2949391
18,6,1600,mini,12,2953487

